iso3,year,protected_pct
KGZ,2016,6.51440059612817
KHM,2016,20.6492772839727
KIR,2016,11.8173045605077
KNA,2016,0.246826850964049
KOR,2016,3.88526952835922
KWT,2016,10.9982704332786
LAO,2016,16.6822252710073
LBN,2016,1.04234132124352
LBR,2016,0.773224088935579
LBY,2016,0.288612427087619
LCA,2016,0.93310098500859
LIE,2016,42.4895272292041
LKA,2016,3.37879848480939
LSO,2016,0.259058862108542
LTU,2016,17.33919590185
LUX,2016,32.2692174714763
LVA,2016,17.5098922163384
MAF,2016,92.3513250022157
MAR,2016,18.5463660614773
MCO,2016,99.7200839748076
MDA,2016,4.15147892756405
MDG,2016,1.97284875372353
MDV,2016,0.0490018209813872
MEX,2016,6.75214757032193
MHL,2016,0.270441582922218
MKD,2016,9.65291179140907
MLI,2016,8.2315834186173
MLT,2016,6.36539055401746
MMR,2016,4.08911261867793
MNE,2016,2.63765558413277
MNG,2016,17.4032333072051
MNP,2016,33.2114779574643
MOZ,2016,13.4487105924863
MRT,2016,1.08074808124804
MUS,2016,0.0115432840393507
MWI,2016,16.8938673074221
MYS,2016,8.91348575727549
NAM,2016,23.2471318730565
NCL,2016,95.7641579007986
NER,2016,17.3171351250111
NGA,2016,11.6107349579734
NIC,2016,15.4797788522118
NLD,2016,17.8924581483262
NOR,2016,4.96242625971203
NPL,2016,23.6261039405048
NZL,2016,30.4786887810956
OMN,2016,1.0183041615309
PAK,2016,9.7949078821214
PAN,2016,5.23495043629487
PER,2016,13.1137339130108
PHL,2016,3.14138638190187
PLW,2016,82.9399513943563
PNG,2016,0.657996414830911
POL,2016,38.0371484381702
PRI,2016,2.02425214978926
PRK,2016,1.26053207722418
PRT,2016,9.09757449950512
PRY,2016,6.5103621832615
PYF,2016,0.0058550837191541
QAT,2016,0.778383955157715
ROU,2016,22.5799678343345
RUS,2016,7.61117652631545
RWA,2016,9.11516142086508
SAU,2016,4.04094603755622
SDN,2016,2.75330083929237
SEN,2016,14.4899514635033
SGP,2016,2.48665252687779
SLB,2016,0.15528252541981
SLE,2016,3.29728394383981
SLV,2016,2.15222717624485
SOM,2016,0.827283619408155
SRB,2016,6.14965014896773
SSD,2016,15.5015818826495
STP,2016,0.244162518792601
SUR,2016,8.48321297296984
SVK,2016,37.283515729079
SVN,2016,55.0920233425064
SWE,2016,12.8652828471003
SWZ,2016,4.095547390098
SXM,2016,5.0561797752809
SYC,2016,0.0513670647204141
SYR,2016,0.66292384624593
TCA,2016,0.387735700796855
TCD,2016,20.3544453722663
TGO,2016,21.7913330548002
THA,2016,12.5097447231165
TJK,2016,22.278588511869
TKM,2016,3.21223105882721
TLS,2016,4.42200884053989
TON,2016,1.52163261595664
TTO,2016,2.01452631474999
TUN,2016,5.20860952560716
TUR,2016,0.190624822703985
TUV,2016,0.0086072417233173
TZA,2016,30.8434525614166
UGA,2016,16.0640835978875
UKR,2016,3.86287620859695
URY,2016,2.32500934184476
USA,2016,26.326199718432
UZB,2016,3.3750589802659
VCT,2016,0.465862061493792
VEN,2016,36.9025423875064
VGB,2016,0.0743447440124602
VIR,2016,0.991597515787276
VNM,2016,2.92944743522906
VUT,2016,0.0907589290005189
WSM,2016,0.228551141091498
YEM,2016,0.605805312181478
ZAF,2016,12.9850092764781
ZMB,2016,38.0490508448198
ZWE,2016,27.2145424089062
ABW,2017,0.1
AFE,2017,12.3553883054037
AFG,2017,0.1
AFW,2017,12.5076761716752
AGO,2017,5.0
ALB,2017,13.5
AND,2017,26.7
ARB,2017,4.510071172597
ARE,2017,11.6
ARG,2017,7.5
ARM,2017,23.1
ASM,2017,8.7
ATG,2017,0.3
AUS,2017,29.7
AUT,2017,28.4
AZE,2017,5.5
BDI,2017,7.6
BEL,2017,24.7
BEN,2017,23.5
BFA,2017,14.9
BGD,2017,4.9
BGR,2017,28.3
BHR,2017,1.7
BHS,2017,8.6
BIH,2017,1.4
BLR,2017,9.4
BLZ,2017,20.6
BMU,2017,0.0
BOL,2017,30.9
BRA,2017,20.7
BRB,2017,0.0
BRN,2017,9.0
BTN,2017,48.0
BWA,2017,29.1
CAF,2017,18.1
CAN,2017,6.5
CEB,2017,27.7509304514696
CHE,2017,9.7
CHL,2017,13.9
CHN,2017,16.0
CIV,2017,14.9
CMR,2017,10.4
COD,2017,13.7
COG,2017,36.7
COL,2017,12.7
COM,2017,0.1
CPV,2017,0.0
CRI,2017,3.0
CSS,2017,6.29244900426619
CUB,2017,7.2
CUW,2017,0.3
CYM,2017,0.1
CYP,2017,1.7
CZE,2017,22.2
DEU,2017,38.8
DJI,2017,1.3
DMA,2017,0.7
DNK,2017,20.7
DOM,2017,11.2
DZA,2017,7.1
EAP,2017,7.44551682569594
EAR,2017,8.80447495288974
EAS,2017,15.4033620166799
ECA,2017,3.84098067661105
ECS,2017,10.7483840059478
ECU,2017,14.4
EGY,2017,11.5
EMU,2017,17.1016832072815
ERI,2017,3.0
ESP,2017,14.9
EST,2017,19.5
ETH,2017,18.5
EUU,2017,18.2528019487731
FCS,2017,8.45658224508181
FIN,2017,14.1
FJI,2017,1.0
FRA,2017,27.8
FRO,2017,0.0
FSM,2017,0.0
GAB,2017,25.1
GBR,2017,28.9
GEO,2017,6.4
GHA,2017,7.8
GIB,2017,13.2
GIN,2017,24.8
GMB,2017,1.4
GNB,2017,11.6
GNQ,2017,1.8
GRC,2017,8.6
GRD,2017,0.2
GRL,2017,22.4
GTM,2017,15.7
GUM,2017,0.1
GUY,2017,5.3
HIC,2017,16.6742221189188
HKG,2017,41.9
HND,2017,12.4
HPC,2017,13.7001961112831
HRV,2017,23.6
HTI,2017,0.3
HUN,2017,22.6
IBD,2017,11.4514504717845
IBT,2017,10.5509167408611
IDA,2017,8.43602686375538
IDB,2017,6.83900979778335
IDN,2017,5.1
IDX,2017,8.83809580401431
IMN,2017,3.7
IND,2017,3.5
IRL,2017,4.0
IRN,2017,7.7
IRQ,2017,1.5
ISL,2017,2.5
ISR,2017,8.6
ITA,2017,13.3
JAM,2017,1.4
JOR,2017,1.8
JPN,2017,10.0
KAZ,2017,3.2
KEN,2017,10.5
KGZ,2017,6.7
KHM,2017,20.6
KIR,2017,11.8
KNA,2017,0.3
KOR,2017,3.9
KWT,2017,11.0
