iso3,year,rent_pct_gdp
WLD,2014,3.16822114811449
WSM,2014,0.514371821253179
XKX,2014,0.522780519330801
YEM,2014,11.0347273323825
ZAF,2014,4.66573419871465
ZMB,2014,10.842259058696
ZWE,2014,5.62126327970579
ABW,2015,0.0023876594444871
AFE,2015,6.49617872247098
AFG,2015,0.469916949251438
AFW,2015,6.10312099735738
AGO,2015,13.3056748880613
ALB,2015,1.73486186826951
AND,2015,0.0
ARB,2015,17.066199006191
ARE,2015,14.0468089597238
ARG,2015,1.11677493458146
ARM,2015,0.760031512473456
ASM,2015,0.0
ATG,2015,0.0
AUS,2015,3.23765474517452
AUT,2015,0.134711076032329
AZE,2015,14.4439997922585
BDI,2015,15.5344531520944
BEL,2015,0.0352518039794327
BEN,2015,4.30030313599698
BFA,2015,11.6328502278275
BGD,2015,0.899813880185078
BGR,2015,0.6587242316101
BHR,2015,12.6346752292951
BHS,2015,0.0142629231307782
BIH,2015,1.0186279504412
BLR,2015,1.16867046065759
BLZ,2015,0.832694636763692
BMU,2015,0.0
BOL,2015,4.11807754841214
BRA,2015,2.35832735012319
BRB,2015,0.129202531392543
BRN,2015,18.8982989274798
BTN,2015,4.0282954127605
BWA,2015,0.804774555171728
CAF,2015,12.6926233912315
CAN,2015,0.332933838108915
CEB,2015,0.825654077279492
CHE,2015,0.0106918477707141
CHL,2015,4.04461870413776
CHN,2015,1.17476659078236
CIV,2015,3.07259669730878
CMR,2015,5.63563339959601
COD,2015,20.1093927301662
COG,2015,15.885704604199
COL,2015,3.70587614553491
COM,2015,2.46576426845081
CPV,2015,9.49812397150104
CRI,2015,1.13397448273593
CSS,2015,1.87214312082157
CUB,2015,0.693800859230045
CUW,2015,0.0
CYM,2015,0.0
CYP,2015,0.0198578971713362
CZE,2015,0.314061907144002
DEU,2015,0.0760120087289006
DJI,2015,0.662618364843773
DMA,2015,0.0474677077229137
DNK,2015,0.521484568638432
DOM,2015,0.535347858231712
DZA,2015,14.9252527493911
EAP,2015,1.5409098498029
EAR,2015,4.57209988530325
EAS,2015,1.19133850568526
ECA,2015,2.89060186213434
ECS,2015,1.13389407302741
ECU,2015,4.63202397853143
EGY,2015,4.12906894708286
EMU,2015,0.108425199868848
ESP,2015,0.0478922611851597
EST,2015,1.44592002735328
ETH,2015,12.1932229078984
EUU,2015,0.190935988717567
FCS,2015,10.1506231636804
FIN,2015,0.445868402403852
FJI,2015,1.040825064872
FRA,2015,0.040991340666787
FRO,2015,0.0
FSM,2015,0.032192134954101
GAB,2015,12.5534347249347
GBR,2015,0.337710045585096
GEO,2015,0.53409410608162
GHA,2015,10.5635168212992
GIN,2015,14.1138586026586
GMB,2015,5.55888177634649
GNB,2015,19.8714177012089
GNQ,2015,17.5005073478909
GRC,2015,0.0713511198951637
GRD,2015,0.0
GRL,2015,0.0
GTM,2015,1.78572375354011
GUM,2015,0.0
GUY,2015,8.56443283798628
HIC,2015,1.24690518321554
HKG,2015,0.0013232418159002
HND,2015,1.56846231223826
HPC,2015,8.14683493912631
HRV,2015,0.698157062296322
HTI,2015,0.574767533630933
HUN,2015,0.285147410110642
IBD,2015,2.86498308832406
IBT,2015,3.0174062389611
IDA,2015,4.82375556376177
IDB,2015,4.12194937281485
IDN,2015,3.08136736381978
IDX,2015,5.49846721744164
IMN,2015,0.0
IND,2015,1.77764002432658
IRL,2015,0.0187707084805869
IRN,2015,15.2302994765894
IRQ,2015,37.5037172137922
ISL,2015,0.0002995919855369
ISR,2015,0.225690565978892
ITA,2015,0.0819093188563771
JAM,2015,1.26600183802715
JOR,2015,1.39974257822882
JPN,2015,0.0289687122696025
KAZ,2015,9.32876500546085
KEN,2015,2.70967011611946
KGZ,2015,4.25309870186703
KHM,2015,1.81768657277543
KIR,2015,0.0732783582600832
KNA,2015,0.0
KOR,2015,0.0367480142308671
KWT,2015,37.3135995019662
LAC,2015,2.25469318573575
LAO,2015,5.52476230566431
LBN,2015,0.0022882837514628
LBR,2015,19.4462580281234
LBY,2015,16.3921988648858
LCA,2015,0.0186627705111545
LCN,2015,2.28491451696878
LDC,2015,7.00584576892073
LIC,2015,9.27604499207718
LIE,2015,0.0019411089416187
LKA,2015,0.116815682766825
LMC,2015,2.86992144777249
LMY,2015,2.69563894030765
LSO,2015,6.21135692867531
LTE,2015,2.97197346865802
LTU,2015,0.355871871770943
LUX,2015,0.0121647269251085
LVA,2015,1.00340965640665
MAC,2015,0.0006767019414542
MAR,2015,2.61402225287558
MCO,2015,0.0
MDA,2015,0.329718543865743
MDG,2015,8.60993537983163
MDV,2015,0.0058691981993841
MEA,2015,15.4293730050955
MEX,2015,2.18360553071428
MHL,2015,0.0
MIC,2015,2.59086533404413
MKD,2015,0.935040215942746
MLI,2015,7.42711000514874
MLT,2015,0.0
MMR,2015,6.61317909325215
MNA,2015,12.370084569971
MNE,2015,0.731313641257514
MNG,2015,9.87899879376714
MNP,2015,0.0
MOZ,2015,12.2160721685778
MRT,2015,6.19132704450206
MUS,2015,0.0279823507404004
MWI,2015,8.89901041042248
MYS,2015,6.5709120658644
NAC,2015,0.242018647842315
NAM,2015,1.8752743624842
NCL,2015,0.0128159191409519
NER,2015,9.74015905746736
NGA,2015,4.55410681800406
NIC,2015,2.10539835608013
NLD,2015,0.442606663458837
NOR,2015,5.16239861599802
NPL,2015,0.934890235914136
NRU,2015,0.0
NZL,2015,1.28424903944645
OED,2015,0.420568210626597
OMN,2015,21.0999447505156
OSS,2015,5.66454821194255
PAK,2015,1.22522777965692
PAN,2015,0.138690460109424
PER,2015,3.91148648466656
PHL,2015,0.758148274430124
PLW,2015,0.0
PNG,2015,12.7384528214768
POL,2015,1.29098319489632
PRE,2015,10.9125887227392
PRI,2015,0.0
PRT,2015,0.159709580402046
PRY,2015,1.69931574477657
PSE,2015,0.0
PSS,2015,3.04449755451152
PST,2015,0.328645129913292
PYF,2015,0.0048040718774737
QAT,2015,19.0641343344092
ROU,2015,0.975979399576012
RUS,2015,9.761666714108
RWA,2015,5.77813915585401
SAS,2015,1.58509269390126
SAU,2015,24.8553045322483
SDN,2015,2.97569090164715
SEN,2015,3.47911885653568
SGP,2015,0.0343911572935456
SLB,2015,16.6664900887493
SLE,2015,10.5713602396516
SLV,2015,0.850742982932215
SMR,2015,0.0
SOM,2015,18.8761765982543
SRB,2015,1.27718856590432
SSA,2015,6.31856857090792
SSD,2015,13.0532234224485
SSF,2015,6.31322321667522
SST,2015,4.87815102794682
STP,2015,3.41287577328636
SUR,2015,5.12495877980327
SVK,2015,0.26302479249352
SVN,2015,0.263848700764214
SWE,2015,0.488159781498559
SWZ,2015,3.40740844429257
SXM,2015,0.0
SYC,2015,0.100073979606541
SYR,2015,3.61325134885599
TCA,2015,0.0041513085128981
TCD,2015,11.9712071081449
TEA,2015,1.54089349761855
TEC,2015,5.10252094167001
TGO,2015,12.7280087175611
THA,2015,1.93092320697655
TJK,2015,2.26536441077173
TKM,2015,15.4827871650235
TLA,2015,2.37241893457833
TLS,2015,79.4309494383903
TMN,2015,12.4758612083285
TON,2015,0.0421389970297059
TSA,2015,1.58509269390126
TSS,2015,6.31322321667522
TTO,2015,7.5354554955632
TUN,2015,2.68828674720116
TUR,2015,0.259377096732697
TUV,2015,0.0
TZA,2015,5.30193884393363
UGA,2015,10.7947576138514
UKR,2015,2.59911540564351
UMC,2015,2.51929824911
URY,2015,1.85218241655473
USA,2015,0.234371770177788
UZB,2015,7.25480371959986
VCT,2015,0.0312630692791454
VIR,2015,0.448439817567942
VNM,2015,3.38333033260239
VUT,2015,0.815485061379561
WLD,2015,1.73840606400035
WSM,2015,0.385043626528853
XKX,2015,0.345818043207918
YEM,2015,2.10342672948231
ZAF,2015,2.80794769347075
ZMB,2015,11.1602533885932
ZWE,2015,4.60618520596556
ABW,2016,0.0033437423337293
AFE,2016,7.11497784119
AFG,2016,0.617409905168126
AFW,2016,6.32108932024194
AGO,2016,20.8851202682195
ALB,2016,1.05848104238626
AND,2016,0.0
ARB,2016,14.4747972342718
ARE,2016,11.8055195768229
ARG,2016,0.929681521135013
ARM,2016,0.22181770783942
ASM,2016,0.0
ATG,2016,0.0
AUS,2016,4.08098789525561
