iso3,curr_renew,curr_co2,new_renew,new_co2,delta_co2,pct_reduction
LBR,91.2,0.16399094600747416,111.2,0.1639909460074742,2.7755575615628914e-17,1.692506585965051e-14
LBR,91.2,0.1639909460074742,121.2,0.16399094600747416,-2.7755575615628914e-17,1.6925065859650508e-14
LBR,91.2,0.1639909460074742,141.2,0.16399094600747413,-5.551115123125783e-17,3.3850131719301016e-14
LBY,2.3,9.077786541305802,12.3,8.956865555969374,-0.12092098533642748,1.3320536320854435
LBY,2.3,9.0777865413058,22.3,8.928497181590807,-0.14928935971499335,1.6445568425264905
LBY,2.3,9.0777865413058,32.3,8.877803000417309,-0.1999835408884909,2.202998935682444
LBY,2.3,9.077786541305802,52.3,8.862195871867309,-0.2155906694384928,2.3749255224003205
LCA,11.7,3.0110456143269957,21.7,3.007233696736043,-0.0038119175909527847,0.12659780286340142
LCA,11.7,3.0110456143269952,31.7,2.9800196998867574,-0.031025914440237834,1.03040333539326
LCA,11.7,3.011045614326995,41.7,2.980019699886758,-0.031025914440236946,1.0304033353932307
LCA,11.7,3.0110456143269952,61.7,2.9800196998867574,-0.031025914440237834,1.03040333539326
LKA,54.2,0.9632878095913359,64.2,0.9610782910805024,-0.002209518510833508,0.22937262247415668
LKA,54.2,0.9632878095913356,74.2,0.9598096275471688,-0.003478182044166833,0.36107402268927435
LKA,54.2,0.9632878095913358,84.2,0.959809627547169,-0.003478182044166722,0.3610740226892628
LKA,54.2,0.9632878095913359,104.2,0.9598096275471691,-0.003478182044166722,0.36107402268926275
LSO,43.2,1.0305891887267733,53.2,1.030172787511218,-0.0004164012155551955,0.04040419015744115
LSO,43.2,1.030589188726773,63.2,1.0288140722652181,-0.0017751164615549264,0.17224287630534618
LSO,43.2,1.0305891887267733,73.2,1.0269218979535513,-0.0036672907732220317,0.35584409513869764
LSO,43.2,1.0305891887267733,93.2,1.0269218979535513,-0.0036672907732220317,0.35584409513869764
LTU,27.7,4.791419076776848,37.7,4.736545032714191,-0.05487404406265739,1.1452566177862018
LTU,27.7,4.791419076776849,47.7,4.736545032714193,-0.0548740440626565,1.145256617786183
LTU,27.7,4.791419076776849,57.7,4.736545032714192,-0.05487404406265739,1.1452566177862016
LTU,27.7,4.791419076776849,77.7,4.736545032714192,-0.05487404406265739,1.1452566177862016
LUX,6.8,18.543141461302316,16.8,18.537764117218984,-0.005377344083331792,0.028999099718641376
LUX,6.8,18.543141461302316,26.8,18.537764117218984,-0.005377344083331792,0.028999099718641376
LUX,6.8,18.543141461302316,36.8,18.473194212608497,-0.06994724869381841,0.37721358508638536
LUX,6.8,18.543141461302316,56.8,18.473194212608504,-0.0699472486938113,0.377213585086347
LVA,40.2,4.012262768195706,50.2,4.012262768195706,0.0,0.0
LVA,40.2,4.012262768195706,60.2,4.012262768195706,0.0,0.0
LVA,40.2,4.012262768195707,70.2,4.012262768195706,-8.881784197001252e-16,2.2136596504608653e-14
LVA,40.2,4.012262768195706,90.2,4.012262768195706,0.0,0.0
MAR,11.1,1.7901474786950633,21.1,1.7777540070976023,-0.012393471597460959,0.6923156748233525
MAR,11.1,1.7901474786950629,31.1,1.7411512821330757,-0.04899619656198717,2.736992183331353
MAR,11.1,1.7901474786950633,41.1,1.719931085104194,-0.07021639359086929,3.922380386338553
MAR,11.1,1.790147478695063,61.1,1.713759984933718,-0.07638749376134513,4.26710618373343
MDA,24.3,1.5888402864252948,34.3,1.571519808851104,-0.017320477574190862,1.0901333332351433
MDA,24.3,1.588840286425295,44.3,1.5555271947445726,-0.033313091680722495,2.09669228338067
MDA,24.3,1.5888402864252946,54.3,1.5540969454445723,-0.03474334098072229,2.186710727161303
MDA,24.3,1.5888402864252946,74.3,1.5540969454445726,-0.03474334098072207,2.186710727161289
MDG,82.2,0.13277478936251824,92.2,0.13229774408019446,-0.00047704528232378474,0.35928905224718255
MDG,82.2,0.13277478936251824,102.2,0.13229774408019446,-0.00047704528232378474,0.35928905224718255
MDG,82.2,0.1327747893625182,112.2,0.13229774408019446,-0.0004770452823237292,0.35928905224714086
MDG,82.2,0.1327747893625182,132.2,0.13229774408019448,-0.00047704528232370147,0.35928905224711993
MEX,9.8,4.159769901247211,19.8,4.143572410542449,-0.016197490704762174,0.38938429502809113
MEX,9.8,4.15976990124721,29.8,4.112122059935147,-0.04764784131206312,1.1454441578073111
MEX,9.8,4.15976990124721,39.8,4.112122059935147,-0.04764784131206312,1.1454441578073111
MEX,9.8,4.159769901247211,59.8,4.112122059935146,-0.0476478413120649,1.1454441578073535
MKD,21.2,3.67237512961724,31.2,3.6462721749432725,-0.026102954673967727,0.7107921645436138
MKD,21.2,3.6723751296172407,41.2,3.6430993576632726,-0.02927577195396802,0.7971890376302417
MKD,21.2,3.672375129617241,51.2,3.643099357663273,-0.02927577195396802,0.7971890376302415
MKD,21.2,3.672375129617241,71.2,3.643099357663272,-0.02927577195396891,0.7971890376302658
MLI,84.6,0.1896097627036881,94.6,0.18945604027645,-0.00015372242723810103,0.08107305501897082
MLI,84.6,0.1896097627036881,104.6,0.18945604027644997,-0.0001537224272381288,0.08107305501898544
MLI,84.6,0.18960976270368804,114.6,0.18945604027644997,-0.00015372242723807328,0.08107305501895619
MLI,84.6,0.18960976270368804,134.6,0.18945604027645002,-0.00015372242723801777,0.0810730550189269
